"ZHYD","denr","elev","slop","pop","popd","clc1area","clc2area","clc3area","clc4area","clc5area","clc1","clc2","clc3","clc4","clc5","area_1","RivLen","RivCount","LenD","RivDen","Nroad","roadD","Nbar_obs","Nkm2_obs"
"W3A0100401",1169.58773333333,65.2728050061,248.373814967,28.7816067338,0.316742057454528,0,0.61,59.09,2.85,28.21,0,0.00671306007459134,0.650286425914102,0.031364297069812,0.31045151590856,90.867651,3508.7632,3,38.6139969657629,0.0330150495471705,1,0.0110050165157235,0,0
"W3A0100501",3074.06491222222,491.506918872,241.645826686,46.7098142803,0.309627314850308,0.28,3.69,134.95,10.91,1.14,0.00185604780267025,0.0244600585423329,0.894548753465535,0.0723195768826157,0.00755676605372887,150.8581835,27666.58421,9,183.394652965578,0.0596586793715437,2,0.0132574843047875,0,0
"W3A0100502",5168.30790833333,172.129556637,245.810678145,41.6046968848,0.309668428370296,0,2.94,110.8,15.8,4.19,0,0.0218827499676193,0.824696835514361,0.117601173295369,0.0311866402599745,134.3524010625,31009.84745,6,230.809774925975,0.0446586734033047,5,0.0372155611694206,0,0
"W3A0100601",0.04435,8.20371420508,249.629084589,7.31599500775,0.270490280383508,0,0,27.36,0,0.05,0,0,1.01156630963432,0,0.00184862264187558,27.047164125,0.04435,1,0.00163972828334364,0.0369724528375117,0,0,0,0
"W3A0100702",0,21.2329779599,249.563846447,58.2763959083,0.280313049497948,0,0,205.39,0,2.36,0,0,0.987938535646191,0,0.0113517451878135,207.897548875,0,0,0,0,0,0,0,0
"W3A0100801",0.349415,-0.08728471973,250,0.1395883318,0.0494291023337661,0,0,1.24,0,1.6,0,0,0.439091764358129,0,0.566570018526618,2.8240110625,0.69883,2,0.247460078779348,0.708212523158273,0,0,0,0
"W3A0100901",0,1.13971799232,249.999809988,1.93329839548,0.0537670834454815,0,0,8.96,0,27.15,0,0,0.249187124345543,0,0.755070360042578,35.956914,0,0,0,0,0,0,0,0
"W3A0100902",0.73866,29.4040479464,249.041680376,6.50830597035,0.0543582722650812,0,3.92,66.97,45.94,2.56,0,0.0327403825588211,0.559342709174554,0.383697238457205,0.0213814743241281,119.729816625,0.73866,1,0.00616939055635173,0.00835213840786253,0,0,0,0
"W3A0101002",19245.299412,410.22387919,249.217157437,34.9598977002,0.0553173142074004,0,10.93,536.19,48.82,36.4,0,0.0172946228124525,0.848417548564403,0.0772482603571759,0.0575959991192381,631.9883421875,96226.49706,5,152.259924173493,0.00791153834055468,1,0.00158230766811094,0,0
"W3A0101003",41944.79357,42.5328612532,249.494136659,11.3869181669,0.0555112237473449,0,3.58,170.06,29.92,2.33,0,0.0174524992717672,0.829042465406908,0.145859993913764,0.0113587495260384,205.1282136875,41944.79357,1,204.480860121467,0.00487499979658302,2,0.00974999959316603,0,0
"W3A0101004",0.9899,4.34278148953,249.934543425,5.84526139428,0.0496553786028109,0,3.4,94.83,9.48,10.14,0,0.0288829319788449,0.805578952809959,0.0805324103410145,0.086139097136908,117.7165809375,0.9899,1,0.00840918069584075,0.00849497999377791,0,0,0,0
"W3A0101201",0.95039,77.5140390664,249.578070459,3.9084732905,0.0505170185506891,0,0.11,64.19,1.13,12.13,0,0.00142175003577034,0.829655770873621,0.014605250367459,0.156780253944493,77.369437125,0.95039,1,0.0122837910590525,0.0129250003251849,0,0,0,0
"W3A0101202",12689.182286,361.741688012,246.951574069,3.44783179555,0.0277508353605138,0,0.35,122.56,1.26,0.3,0,0.00281707256969897,0.986458326120873,0.0101414612509163,0.00241463363117054,124.24245075,63445.91143,5,510.662104997152,0.0402438938528424,2,0.016097557541137,0,0
"W3A0101203",1004.21888,37.1616394022,249.059196872,9.09069010871,0.0487473110099542,0,7.63,171.57,6.47,0.42,0,0.0409146036833424,0.920015537870388,0.0346942969634634,0.00225218001926656,186.485980875,2008.43776,2,10.7699128405059,0.0107246667584122,1,0.00536233337920608,0,0
"W3A0101204",4195.808315,35.0992531689,248.479156623,2.9139064264,0.0206210443942564,0,0,139.23,0,1.88,0,0,0.985298630388551,0,0.0133043268342345,141.3074125,8391.61663,2,59.3855374005946,0.0141535391853559,1,0.00707676959267795,0,0
"W3A0101205",18557.77734,161.843164668,243.993287716,0,0,0,0.86,83.86,1.24,9.81,0,0.00896388910044217,0.874083418561722,0.0129246773076143,0.102250874506207,95.94049975,18557.77734,1,193.430067472626,0.0104231268609793,1,0.0104231268609793,0,0
"W3A0101206",4794.63416,148.861389348,242.691184892,450.480355978,2.97279540050684,0.43,24.52,105.36,17.52,3.79,0.00283764209749552,0.161811591233931,0.695288305563089,0.115617417553771,0.0250108454639721,151.534261625,19178.53664,4,126.562378925638,0.0263966706743769,1,0.00659916766859423,0,0
"W3A0101207",6634.678034,362.350821967,240.311681565,0,0,0,5.98,102.13,2.04,0.4,0,0.0540566072734854,0.923210919873088,0.0184407155247342,0.00361582657347729,110.6247746875,33173.39017,5,299.87306427254,0.0451978321684661,3,0.0271186993010797,0,0
