"ZHYD","denr","elev","slop","pop","popd","clc1area","clc2area","clc3area","clc4area","clc5area","clc1","clc2","clc3","clc4","clc5","area_1","RivLen","RivCount","LenD","RivDen","Nroad","roadD","Nbar_obs","Nkm2_obs"
"A020005588",7711.1775413,28.5068332118696,249.955621240221,866595.905913,277.44297470238,402.21,2282.72,413.35,17.1,8.13,0.128768596866986,0.730818854429792,0.132335097374428,0.005474610294188,0.002602841034605,3123.51,615003.82623,114,196.895103979177,0.036497401961255,385,0.123258769781432,1480,0.473825920198751
"A020005597",4526.03318559,39.6554000835067,249.888142840661,121206.309535,35.0185801268987,95.34,2316.07,1026.9,2.44,20.45,0.027545359990755,0.669152317115451,0.296689009592049,0.000704957818098,0.005908355483647,3461.2,862044.50701,299,249.059432280712,0.086386224430833,314,0.090719981509303,1754,0.506760661042413
"A020005622",7595.41055553,142.682219756103,249.937528923356,237740.492502,78.0282890533697,126.4,2206.17,693.99,13.86,6.43,0.041485468598717,0.724082248879991,0.227772945829299,0.004548960401726,0.002110376290267,3046.85,568528.83788,137,186.59561116563,0.044964471503356,252,0.08270837094048,219,0.071877512841131
"A020005627",5037.66345152,153.657764615832,249.962585624712,227122.924736,81.7544750698121,167.49,1929.11,665.39,3.84,12.28,0.060289189412946,0.694396550172599,0.239511754394174,0.001382234684732,0.004420271335548,2778.11,603841.37935,175,217.356900680679,0.062992466101054,218,0.078470614914456,113,0.040675135253824
"A020005682",3953.72054667,98.1321619334361,249.953941107273,274894.192259,105.06340332309,105.42,2107.69,300.76,30.9,71.69,0.040291080314624,0.805550247280677,0.114949206179342,0.011809849949932,0.027399616275426,2616.46,545573.87502,181,208.516038854024,0.06917743821805,142,0.054271802358912,21,0.008026111616459
"A020005727",3914.72767265,98.6865412750656,249.83455812199,242911.690134,92.7140316768916,112.15,1472.34,1000.47,8.53,26.52,0.0428051801329,0.561959687176766,0.381857321155263,0.003255712764455,0.010122098770615,2620.01,702678.90425,262,268.19703140446,0.099999618322067,182,0.069465383719909,272,0.103816397647337
"A020005758",6843.74223514,48.7608636601227,249.922758748595,193042.453018,45.9802240429652,157.96,3018.27,983.81,0.75,37.59,0.037624035937671,0.718913009303588,0.234330860951129,0.0001786403327,0.008953453474912,4198.38,873904.52776,212,208.152794115826,0.050495667376464,366,0.087176482357481,1745,0.415636507414765
"A020005793",4394.20061307,117.242447762385,249.949927804319,182910.895303,69.3650932347017,147.57,1644.3,819.6,0.63,24.83,0.055962805231842,0.623566040812612,0.310815986772497,0.000238914191882,0.009416252991168,2636.93,577978.92261,181,219.186297175124,0.06864042655664,247,0.093669532372873,64,0.024270648064226
"A020006015",4899.21993748,113.847567305772,249.937217942133,311828.1885,105.019176054437,107.73,2124,675.3,9.91,52.31,0.036281889366001,0.715332154584491,0.227431169487244,0.003337543150627,0.017617243411636,2969.25,636722.29941,192,214.438763798939,0.064662793634756,230,0.077460638208302,161,0.054222446745811
"A020006186",4656.53369383,52.9727876075051,249.902427043535,124048.475794,45.0536531111618,108.17,1638.66,980.88,8.92,16.72,0.039286687126591,0.595151361069243,0.356249659505693,0.003239689832386,0.006072602466087,2753.35,722188.13671,239,262.294345691612,0.086803348648011,243,0.088256124357601,363,0.131839395645305
"A020006260",6579.32425312,155.890194782842,249.971765146704,212859.250793,69.2132921442937,149.99,2061.65,846.71,1.56,15.5,0.048770733007957,0.670365902432521,0.275316136710227,0.000507249439912,0.005039978409383,3075.41,574274.9586,199,186.731186606014,0.064706819578528,126,0.040970147069822,98,0.031865669943195
"A020006276",4234.50301236,136.450315725178,249.962316522432,1663014.89332,607.669388907042,517.2,1469.41,721.58,1.47,27.05,0.188986045287955,0.536925724684018,0.263666957770462,0.000537141312013,0.009884130945551,2736.71,582536.02209,190,212.859974966292,0.069426428083356,489,0.178681701751373,119,0.043482868115365
"A020006405",5789.46024596,101.618713616575,249.960077044055,831984.402526,287.441276417268,350.17,1790.58,702.79,0.53,50.38,0.120979806180794,0.618625300143378,0.242806059873206,0.000183109053533,0.017405724749089,2894.45,704785.2415,219,243.495393425349,0.075662042875158,393,0.135777090638981,117,0.040422187289468
"A020006480",3466.71750073,66.1420315947406,249.815015777646,618747.756652,216.819947385599,301.76,1460.56,1057.22,28.8,5.4,0.105741938648931,0.511805560422463,0.370468227659142,0.010092019595338,0.001892253674126,2853.74,744364.53953,266,260.838247187901,0.093211014318053,509,0.178362429653718,1698,0.595008655308472
"A020006659",8137.23465541,51.7926899258752,249.78144654825,603622.349217,189.63586901177,268.66,2421.76,478.23,11.22,3.19,0.08440305869195,0.760827631273052,0.150242219750806,0.003524909992272,0.00100218029192,3183.06,591800.59568,106,185.921910262452,0.03330128869704,496,0.155824898054074,989,0.310707306805401
"A020006724",4425.02737963,75.4997687102098,249.909299175838,455545.290537,158.65084978163,251.8,1455.06,1151.4,4.14,8.97,0.087693331057997,0.506747650076444,0.400993254091253,0.001441820455044,0.003123944319262,2871.37,660495.14658,207,230.027877487053,0.072091022752205,463,0.16124707021387,1215,0.42314295963251
"A020006770",4446.88059665,134.619981274644,249.957012140642,266079.069975,84.8536772740613,161.15,2444.33,517.02,5.97,7.27,0.051391378111706,0.779506591745489,0.164879741305083,0.001903856824864,0.002318432012858,3135.74,631840.84747,157,201.496567786232,0.050067926550033,307,0.097903525164714,193,0.061548470217556
"A020006814",3641.29757503,113.662420174484,249.318419460986,1083205.55501,429.596285870739,475.05,1675.69,341.63,2.78,26.3,0.188403497987269,0.664573955462135,0.135489500089234,0.001102540205041,0.010430506256321,2521.45,716346.50187,255,284.101014047473,0.101132284994745,1167,0.46282892779948,1945,0.771381546332467
"A020006869",5472.94466719,140.811729448575,249.962363978518,191491.684516,76.2165058752933,154.15,1528.19,793.54,0.28,36.31,0.061353966415519,0.608242088462748,0.315840587151289,0.000111444116746,0.014451913853698,2512.47,585162.92432,139,232.903447332704,0.055324043670173,180,0.071642646479361,145,0.057712131886152
"A020006924",6064.61487243,73.2459100463568,249.922513875203,391123.728715,155.054005437051,227.37,1570.81,690.73,2.18,31.41,0.090136769078295,0.622719524281467,0.273827552031715,0.000864222001982,0.012451932606541,2522.5,553701.06258,113,219.504881102081,0.044796828543112,347,0.137561942517344,1423,0.56412289395441
"A020006961",5741.78712909,138.299526747604,249.96328078768,422015.624677,161.176169983897,206.68,2029.78,366.12,2.83,12.94,0.078935207287032,0.775213397750492,0.139828517959784,0.001080833349247,0.004942043653446,2618.35,538969.61718,113,205.843228437757,0.043156949987588,312,0.119159012355109,215,0.082112780949835
"A020006982",4530.6710013,62.5478478925021,249.857260066544,224694.03086,88.6849767762269,171.95,1310.02,950.85,13.63,87.17,0.067867320276916,0.517054649079183,0.37529305894333,0.005379654407528,0.034405317293043,2533.62,609333.27158,169,240.499077043913,0.066702978347187,286,0.112881963356778,274,0.108145657201948
"A020007013",4351.6748202,95.8074757722051,249.925944318743,402522.679185,103.171526566871,202.4,2928.94,735.69,4.76,29.7,0.051877615987738,0.750723441556944,0.188566419496141,0.001220046700107,0.00761247625907,3901.49,881061.93734,264,225.827039756606,0.06766645563618,305,0.078175261246344,448,0.114827924715942
"A020007059",4780.63268852,108.887531122778,249.942588195572,317445.636985,123.105837567399,179.34,1903.21,448.01,12.36,35.72,0.069548289020569,0.73806735333354,0.173738870102069,0.004793224335309,0.013852263208513,2578.64,501299.45608,140,194.404591598672,0.054292185027767,189,0.073294449787485,178,0.069028635249589
"A020007062",3004.77229266,62.3688613884594,249.825562824202,884227.753316,255.835911764054,397.98,1175.18,1772.25,8.52,102.3,0.115148586754932,0.340017880754464,0.512769694146512,0.002465113722177,0.029598724621915,3456.23,988968.67266,424,286.140873917534,0.122677020915853,680,0.196746165619765,76,0.021989277333974
"A020007103",5207.75638125,146.385202001964,249.95519771678,934370.168424,265.412893963334,353.04,2477,633.33,10.54,46.53,0.100282919180557,0.703605231164286,0.179900807853564,0.002993943938826,0.013217097862767,3520.44,699331.06782,175,198.648767716535,0.049709695378987,361,0.102544000181795,131,0.037211257683699
"A020007147",3224.39300578,172.430387348459,248.522555380246,942037.239825,342.830767599438,360.03,1574.8,798.12,0,14.87,0.131023866192109,0.573108864481662,0.290455706705679,0,0.00541156262055,2747.82,824135.87774,323,299.92353128662,0.117547728744969,1239,0.45090289756971,1203,0.437801602725069
"A020007169",4832.72126171,61.3531815182764,249.882802104219,3336838.68268,908.01049355991,904.9,1424.22,1276.42,3.7,65.65,0.246238662925965,0.387554457412331,0.347335566506753,0.001006832857582,0.017864480297369,3674.89,869472.57623,248,236.598259058094,0.067485013156856,885,0.240823534854104,144,0.039184846349142
